State,Location,Latitude,Longitude
Andaman and Nicobar Islands,Bamboo Flat,11.7,92.71667
Andaman and Nicobar Islands,Nicobar,7.03002,93.79028
Andaman and Nicobar Islands,Port Blair,11.66613,92.74635
Andaman and Nicobar Islands,South Andaman,10.75776,92.52136
Andhra Pradesh,Addanki,15.81061,79.97338
Andhra Pradesh,Adoni,15.62788,77.27495
Andhra Pradesh,Akasahebpet,17.50455,82.56597
Andhra Pradesh,Akividu,16.58225,81.38112
Andhra Pradesh,Akkarampalle,13.65,79.42
Andhra Pradesh,Amalapuram,16.57868,82.00609
Andhra Pradesh,Amudalavalasa,18.41025,83.90295
Andhra Pradesh,Anakapalle,17.69134,83.00395
Andhra Pradesh,Anantapur,14.55,77.41667
Andhra Pradesh,Atmakur,15.88109,78.58704
Andhra Pradesh,Attili,16.7,81.6
Andhra Pradesh,Avanigadda,16.02148,80.91808
Andhra Pradesh,Badvel,14.7451,79.06288
Andhra Pradesh,Banganapalle,15.31771,78.22669
Andhra Pradesh,Bapatla,15.90422,80.46743
Andhra Pradesh,Betamcherla,15.45144,78.14797
Andhra Pradesh,Bhattiprolu,16.1026,80.78074
Andhra Pradesh,Bhimavaram,16.54078,81.52322
Andhra Pradesh,Bhimunipatnam,17.89017,83.45203
Andhra Pradesh,Bobbili,18.57366,83.35925
Andhra Pradesh,Challapalle,16.11756,80.93139
Andhra Pradesh,Chemmumiahpet,15.89794,79.32129
Andhra Pradesh,Chilakalurupet,16.08987,80.16705
Andhra Pradesh,Chinnachowk,14.47516,78.8354
Andhra Pradesh,Chipurupalle,18.31142,83.56846
Andhra Pradesh,Chirala,15.82385,80.35219
Andhra Pradesh,Chittoor,13.41667,79.0
Andhra Pradesh,Chodavaram,17.82884,82.93526
Andhra Pradesh,Cuddapah,14.41667,78.75
Andhra Pradesh,Cumbum,15.58171,79.11059
Andhra Pradesh,Darsi,15.76978,79.67939
Andhra Pradesh,Dharmavaram,14.41435,77.72035
Andhra Pradesh,Dhone,15.3952,77.8715
Andhra Pradesh,Diguvametta,15.39507,78.8293
Andhra Pradesh,East Godavari,17.83333,81.83333
Andhra Pradesh,Elamanchili,17.54907,82.85749
Andhra Pradesh,Ellore,16.71311,81.10437
Andhra Pradesh,Emmiganur,15.77203,77.48345
Andhra Pradesh,Erraguntla,14.63853,78.53974
Andhra Pradesh,Etikoppaka,17.5,82.73333
Andhra Pradesh,Gajuwaka,17.7,83.21667
Andhra Pradesh,Ganguvada,18.66667,84.11667
Andhra Pradesh,Gannavaram,16.54092,80.80213
Andhra Pradesh,Giddalur,15.37439,78.92609
Andhra Pradesh,Gokavaram,17.25823,81.84985
Andhra Pradesh,Gorantla,13.98411,77.77224
Andhra Pradesh,"Govindapuram,Chilakaluripet,Guntur",16.15477,80.10279
Andhra Pradesh,Gudivada,16.43547,80.99555
Andhra Pradesh,Gudlavalleru,16.35,81.05
Andhra Pradesh,Gudur,14.15093,79.8521
Andhra Pradesh,Guntakal Junction,15.17112,77.36244
Andhra Pradesh,Guntur,16.29974,80.45729
Andhra Pradesh,Hindupur,13.82807,77.49143
Andhra Pradesh,Ichchapuram,19.11393,84.68721
Andhra Pradesh,Jaggayyapeta,16.8938,80.09807
Andhra Pradesh,Jammalamadugu,14.84677,78.38314
Andhra Pradesh,Kadiri,14.11168,78.15982
Andhra Pradesh,Kaikalur,16.55154,81.214
Andhra Pradesh,Kakinada,16.96036,82.23809
Andhra Pradesh,Kalyandurg,14.54519,77.10552
Andhra Pradesh,Kamalapuram,14.5983,78.66948
Andhra Pradesh,Kandukur,15.21542,79.9039
Andhra Pradesh,Kanigiri,15.40555,79.50694
Andhra Pradesh,Kankipadu,16.4353,80.76715
Andhra Pradesh,Kanuru,16.28584,81.25464
Andhra Pradesh,Kavali,14.9163,79.99449
Andhra Pradesh,Kolanukonda,16.45392,80.61046
Andhra Pradesh,Kondapalle,16.61989,80.54244
Andhra Pradesh,Korukollu,16.5,81.25
Andhra Pradesh,Kosigi,15.8551,77.24463
Andhra Pradesh,Kovvur,17.0162,81.72934
Andhra Pradesh,Krishna,16.66667,81.0
Andhra Pradesh,Kuppam,12.74931,78.34189
Andhra Pradesh,Kurnool,15.58333,78.33333
Andhra Pradesh,Macherla,16.47635,79.43533
Andhra Pradesh,Machilipatnam,16.18747,81.13888
Andhra Pradesh,Madanapalle,13.5503,78.50288
Andhra Pradesh,Madugula,17.91589,82.81578
Andhra Pradesh,Mandapeta,16.86254,81.92921
Andhra Pradesh,Mandasa,18.8683,84.46296
Andhra Pradesh,Mangalagiri,16.43083,80.56815
Andhra Pradesh,Markapur,15.73534,79.26848
Andhra Pradesh,Nagari,13.32139,79.58557
Andhra Pradesh,Nagireddipalli,14.27005,79.10131
Andhra Pradesh,Nandigama,16.7717,80.28596
Andhra Pradesh,Nandikotkur,15.85668,78.26569
Andhra Pradesh,Nandyal,15.47799,78.4836
Andhra Pradesh,Narasannapeta,18.41428,84.04463
Andhra Pradesh,Narasapur,16.43425,81.69845
Andhra Pradesh,Narasaraopet,16.23488,80.04927
Andhra Pradesh,Narasingapuram,13.60759,79.31652
Andhra Pradesh,Narayanavanam,13.42565,79.58881
Andhra Pradesh,Narsipatnam,17.66709,82.61245
Andhra Pradesh,Nayudupet,13.90742,79.89465
Andhra Pradesh,Nellore,14.08333,79.58333
Andhra Pradesh,Nidadavole,16.90572,81.67222
Andhra Pradesh,Nuzvid,16.78854,80.84593
Andhra Pradesh,Ongole,15.50357,80.04454
Andhra Pradesh,Pakala,13.44903,79.11493
Andhra Pradesh,Palakollu,16.5167,81.73
Andhra Pradesh,Palasa,18.77257,84.41012
Andhra Pradesh,Palkonda,18.60374,83.75568
Andhra Pradesh,Pallevada,16.5779,81.29463
Andhra Pradesh,Palmaner,13.2,78.74725
Andhra Pradesh,Parlakimidi,18.78113,84.08836
Andhra Pradesh,Parvatipuram,18.78392,83.42569
Andhra Pradesh,Pavuluru,15.85292,80.16468
Andhra Pradesh,Pedana,16.25582,81.14378
Andhra Pradesh,pedda nakkalapalem,15.8668,80.16202
Andhra Pradesh,Peddapuram,17.07701,82.13836
Andhra Pradesh,Penugonda,16.65363,81.7455
Andhra Pradesh,Penukonda,14.08286,77.59473
Andhra Pradesh,Phirangipuram,16.29078,80.26233
Andhra Pradesh,Pippara,16.71667,81.55
Andhra Pradesh,Pithapuram,17.1168,82.25284
Andhra Pradesh,Polavaram,17.24754,81.64372
Andhra Pradesh,Ponnur,16.07114,80.54944
Andhra Pradesh,Ponnuru,16.06547,80.55203
Andhra Pradesh,Prakasam,15.5,79.5
Andhra Pradesh,Proddatur,14.7502,78.54813
Andhra Pradesh,Pulivendla,14.42139,78.22502
Andhra Pradesh,Punganuru,13.36672,78.57186
Andhra Pradesh,Puttaparthi,14.1652,77.8117
Andhra Pradesh,Puttur,13.44189,79.55314
Andhra Pradesh,Rajahmundry,17.00517,81.77784
Andhra Pradesh,Ramachandrapuram,16.83636,82.02871
Andhra Pradesh,Ramanayyapeta,16.94516,82.2385
Andhra Pradesh,Ramapuram,15.28749,77.86722
Andhra Pradesh,Rampachodavaram,17.44088,81.77558
Andhra Pradesh,Rayachoti,14.05723,78.75056
Andhra Pradesh,Rayadrug,14.69971,76.85241
Andhra Pradesh,Razam,18.44909,83.65957
